SEQPLT18	YEAR	PSTATABB	PNAME	ORISPL	UTLSRVNM	LAT	LON	PLPRMFL	PLFUELCT	PLNGENAN	PLCO2AN	PLCO2EQA	PLC2ERTA	PLCO2CRT	UNCO2	BIOCO2	CHPCO2	PLGENACL	PLGENAOL	PLGENAGS	PLGENANC	PLGENAHY	PLGENABM	PLGENAWI	PLGENASO	PLGENAGT	PLGENAOF	PLGENAOP	PLGENATN	PLGENATR	PLGENATH
4046	2018	KY	E W Brown	1355	Kentucky Utilities Co	37.78831	-84.71257	BIT	COAL	2543464	2806292	2826238	2222	2222	2806292			2031287	6542	488605	0	0	0	0	17030	0	0	0	2526434	17030	17030
4047	2018	KY	East Bend	6018	Duke Energy Kentucky Inc	38.9036	-84.8514	BIT	COAL	2792745	3228075	3253213	2330	2312	3228075			2781366	11379	0	0	0	0	0	0	0	0	0	2792745	0	0
4048	2018	KY	Elmer Smith	1374	City of Owensboro - (KY)	37.7942	-87.0608	BIT	COAL	2209915	2527776	2548729	2307	2288	2527776			2201433	3430	5052	0	0	0	0	0	0	0	0	2209915	0	0
4049	2018	KY	Evelyn Hydroelectric Project	62748	Lock 13 Hydro Partners	37.601982	-83.832973	WAT	HYDRO																						
4050	2018	KY	Ghent	1356	Kentucky Utilities Co	38.7497	-85.035	RC	COAL	11264692	11725834	11829226	2100	2082	11725834			11254224	10468	0	0	0	0	0	0	0	0	0	11264692	0	0
4051	2018	KY	Glasgow LFGTE	60137	East Kentucky Power Coop, Inc	36.9874	-85.9575	LFG	BIOMASS	5777	0	0	0	0	4572	4572		0	0	0	0	0	5777	0	0	0	0	0	0	5777	5777
4052	2018	KY	Green City Recovery, LLC	60703	Green City Recovery, LLC	38.345278	-84.548889	LFG	BIOMASS	1948	0	0	0	0	2017	2017		0	0	0	0	0	1948	0	0	0	0	0	0	1948	1948
4053	2018	KY	Green River	1357	Kentucky Utilities Co	37.3636	-87.1214	BIT	COAL																						
4054	2018	KY	Green Valley LFGTE	56278	East Kentucky Power Coop, Inc	38.396737	-82.808819	LFG	BIOMASS	13374	0	0	0	0	10319	10319		0	0	0	0	0	13374	0	0	0	0	0	0	13374	13374
4055	2018	KY	H L Spurlock	6041	East Kentucky Power Coop, Inc	38.7	-83.8181	BIT	COAL	7772126	7334746	7397391	1904	1887	8100655	0	765909	7691212	17374	0	0	0	0	0	0	0	63540	0	7772126	0	0
4056	2018	KY	Haefling	1358	Kentucky Utilities Co	38.0794	-84.5194	NG	GAS	-159	38	38	0	0	38			0	-68	-91	0	0	0	0	0	0	0	0	-159	0	0
4057	2018	KY	Hardin County LFGTE	56280	East Kentucky Power Coop, Inc	37.7258	-85.7258	LFG	BIOMASS	4732	0	0	0	0	3874	3874		0	0	0	0	0	4732	0	0	0	0	0	0	4732	4732
4058	2018	KY	Hardinsburg Electric Generating Station	55227	AES Ohio Generation LLC	37.766667	-86.543888	NG	GAS																						
4059	2018	KY	Heidelberg Hydroelectric Project	62749	Lock 14 Hydro Partners, LLC	37.552399	-83.770011	WAT	HYDRO																						
4060	2018	KY	HMP and L Station 2	1382	Big Rivers Electric Corp	37.6469	-87.5028	BIT	COAL	648948	860180	866637	2671	2651	860180			642312	6636	0	0	0	0	0	0	0	0	0	648948	0	0
4061	2018	KY	John S. Cooper	1384	East Kentucky Power Coop, Inc	36.9981	-84.5919	BIT	COAL	562090	630193	635187	2260	2242	630193			559352	2738	0	0	0	0	0	0	0	0	0	562090	0	0
