U.S. Department of Energy, The Energy Information Administration (EIA)					
Monthly Fuel Consumption Data by State, Producer Sector and Energy Source; Months Through December 2017					
Sources: EIA-923 Report					
					
YEAR	MONTH	STATE	TYPE OF PRODUCER	ENERGY SOURCE	CONSUMPTION
2017	1	MA	Combined Heat and Power, Industrial Power	Petroleum (Barrels)	0
2017	1	MA	Combined Heat and Power, Commercial Power	Natural Gas (Mcf)	189,970
2017	1	MA	Combined Heat and Power, Commercial Power	Petroleum (Barrels)	3,945
2017	1	MA	Combined Heat and Power, Electric Power	Natural Gas (Mcf)	1,114,524
2017	1	MA	Combined Heat and Power, Electric Power	Petroleum (Barrels)	2
2017	1	MA	Electric Generators, Independent Power Producers	Coal (Short Tons)	114,759
2017	1	MA	Electric Generators, Independent Power Producers	Natural Gas (Mcf)	10,672,943
2017	1	MA	Electric Generators, Independent Power Producers	Petroleum (Barrels)	20,705
2017	1	MA	Electric Generators, Electric Utilities	Natural Gas (Mcf)	24,494
2017	1	MA	Electric Generators, Electric Utilities	Petroleum (Barrels)	1,048
2017	1	MD	Total Electric Power Industry	Coal (Short Tons)	338,322
2017	1	MD	Total Electric Power Industry	Natural Gas (Mcf)	2,334,017
2017	1	MD	Total Electric Power Industry	Petroleum (Barrels)	27,933
2017	1	MD	Combined Heat and Power, Industrial Power	Coal (Short Tons)	1,865
2017	1	MD	Combined Heat and Power, Industrial Power	Natural Gas (Mcf)	36,473
2017	1	MD	Combined Heat and Power, Industrial Power	Petroleum (Barrels)	75
2017	1	MD	Combined Heat and Power, Commercial Power	Coal (Short Tons)	0
2017	1	MD	Combined Heat and Power, Commercial Power	Natural Gas (Mcf)	452,258
2017	1	MD	Combined Heat and Power, Commercial Power	Petroleum (Barrels)	24
2017	1	MD	Combined Heat and Power, Electric Power	Coal (Short Tons)	38,357
2017	1	MD	Combined Heat and Power, Electric Power	Natural Gas (Mcf)	157,168
2017	1	MD	Combined Heat and Power, Electric Power	Petroleum (Barrels)	489
2017	1	MD	Electric Generators, Independent Power Producers	Coal (Short Tons)	298,100
2017	1	MD	Electric Generators, Independent Power Producers	Natural Gas (Mcf)	1,688,118
2017	1	MD	Electric Generators, Independent Power Producers	Petroleum (Barrels)	26,356
2017	1	MD	Electric Generators, Electric Utilities	Natural Gas (Mcf)	0
2017	1	MD	Electric Generators, Electric Utilities	Petroleum (Barrels)	989
2017	1	ME	Total Electric Power Industry	Coal (Short Tons)	1,909
2017	1	ME	Total Electric Power Industry	Natural Gas (Mcf)	1,559,210
2017	1	ME	Total Electric Power Industry	Petroleum (Barrels)	25,838
2017	1	ME	Combined Heat and Power, Industrial Power	Coal (Short Tons)	296
2017	1	ME	Combined Heat and Power, Industrial Power	Natural Gas (Mcf)	146,105
2017	1	ME	Combined Heat and Power, Industrial Power	Petroleum (Barrels)	871
